ADJMT_ID;ADJMT_SUBMSN_STUS_CD
C_41716;POSTED
C_41718;POSTED
C_41721;POSTED
C_41722;POSTED
C_41731;POSTED
C_41730;POSTED
C_41725;POSTED
C_41729;POSTED
C_41727;POSTED
C_41738;POSTED
C_41734;POSTED
C_41737;POSTED
C_41744;POSTED
C_41740;POSTED
C_41745;POSTED
C_41746;POSTED
C_24986;POSTED
C_24989;POSTED
C_25071;POSTED
C_25072;POSTED
C_25074;POSTED
C_25122;POSTED
C_25124;POSTED
C_25125;POSTED
C_25126;POSTED
C_25127;POSTED
C_25128;POSTED
C_25129;POSTED
C_25130;POSTED
C_25131;POSTED
C_25132;POSTED
C_25133;POSTED
C_25134;POSTED
C_25135;POSTED
C_25172;POSTED
C_25178;POSTED
C_40002;POSTED
C_40846;POSTED
C_40850;POSTED
C_40852;POSTED
C_40970;POSTED
C_40942;POSTED
C_41051;POSTED
C_40978;POSTED
C_41062;POSTED
C_40929;POSTED
C_41082;POSTED
C_40924;POSTED
C_40922;FAILED
C_41032;POSTED
C_41018;POSTED
C_41036;POSTED
C_40907;POSTED
C_40908;POSTED
C_40996;POSTED
C_40973;POSTED
C_40923;POSTED
C_40965;POSTED
C_41003;POSTED
C_40993;POSTED
C_41010;POSTED
C_41041;POSTED
C_40925;POSTED
C_40946;POSTED
C_41077;POSTED
C_41064;POSTED
C_40966;POSTED
C_41059;POSTED
C_41026;POSTED
C_41087;POSTED
C_41013;POSTED
C_41009;POSTED
C_40921;POSTED
C_41058;POSTED
C_40926;POSTED
C_40979;POSTED
C_40990;POSTED
C_41098;POSTED
C_41072;POSTED
C_41099;POSTED
C_41095;POSTED
C_41119;POSTED
C_41122;POSTED
C_41124;POSTED
C_25010;POSTED
C_25054;POSTED
C_25055;POSTED
C_25094;POSTED
C_40107;POSTED
C_41125;POSTED
C_41126;POSTED
C_41149;POSTED
C_41151;SUBMITTED_TO_FIM
C_41154;POSTED
C_41157;POSTED
C_41156;POSTED
C_41158;POSTED
C_41161;POSTED
C_41163;POSTED
C_41192;POSTED
C_41197;POSTED
C_41194;POSTED
C_41198;POSTED
C_41202;POSTED
C_41206;POSTED
C_41205;POSTED
C_41209;POSTED
C_41207;POSTED
C_41216;POSTED
C_41213;POSTED
C_41298;POSTED
C_41297;POSTED
C_41296;POSTED
C_41305;POSTED
C_41301;POSTED
C_41303;POSTED
C_41306;POSTED
C_41310;POSTED
C_41311;POSTED
C_41313;POSTED
C_41312;POSTED
C_41317;POSTED
C_41320;POSTED
C_41321;POSTED
C_41319;POSTED
C_41328;POSTED
C_41326;POSTED
C_41324;POSTED
C_41330;POSTED
C_41334;POSTED
C_41335;POSTED
C_41340;POSTED
C_41341;POSTED
C_41346;POSTED
C_41347;POSTED
C_41350;POSTED
C_41351;POSTED
C_41355;POSTED
C_41359;POSTED
C_41361;POSTED
C_41362;POSTED
C_41367;POSTED
C_41366;POSTED
C_41363;POSTED
C_41370;POSTED
C_41372;POSTED
C_41371;POSTED
C_41373;POSTED
C_41375;POSTED
C_41376;POSTED
C_41381;POSTED
C_41383;POSTED
C_41385;POSTED
C_41386;POSTED
C_41392;POSTED
C_41393;POSTED
C_41388;POSTED
C_41396;POSTED
C_41398;POSTED
C_41397;POSTED
C_41401;POSTED
C_41404;POSTED
C_41407;POSTED
C_41403;POSTED
C_41408;POSTED
C_41411;POSTED
C_41413;POSTED
C_41419;POSTED
C_41414;POSTED
C_41418;POSTED
C_41420;POSTED
C_41423;POSTED
C_41436;POSTED
C_41435;POSTED
C_41442;POSTED
C_41443;POSTED
C_41445;POSTED
C_41451;POSTED
C_41449;POSTED
C_41447;POSTED
C_41456;POSTED
C_41454;POSTED
C_41455;POSTED
C_41459;POSTED
C_41461;POSTED
C_41462;POSTED
C_41468;POSTED
C_41466;POSTED
C_41465;POSTED
C_41471;POSTED
C_41472;POSTED
C_41474;POSTED
C_41479;POSTED
C_41478;POSTED
C_41486;POSTED
C_41485;POSTED
C_41483;POSTED
C_41482;POSTED
C_41489;POSTED
C_41490;POSTED
C_41493;POSTED
C_41491;POSTED
C_41498;POSTED
C_41497;POSTED
C_41501;POSTED
C_41506;POSTED
C_41504;POSTED
C_41505;POSTED
C_41512;POSTED
C_41511;POSTED
C_41513;POSTED
C_41515;POSTED
C_41514;POSTED
C_41520;POSTED
C_41524;POSTED
C_41522;POSTED
C_41525;POSTED
C_41529;POSTED
C_41527;POSTED
C_41531;POSTED
C_41539;POSTED
C_41534;POSTED
C_41535;POSTED
C_41533;POSTED
C_41580;POSTED
C_41671;POSTED
C_41669;POSTED
C_41728;POSTED
C_41732;POSTED
C_41736;POSTED
C_41733;POSTED
C_41735;POSTED
C_41743;POSTED
C_41742;POSTED
C_41741;POSTED
C_41739;POSTED
C_41747;POSTED
C_25102;POSTED
C_25104;POSTED
C_25142;POSTED
C_25143;POSTED
C_25145;POSTED
C_25147;POSTED
C_25150;POSTED
C_25152;POSTED
C_25153;POSTED
C_25156;POSTED
C_25167;POSTED
C_25169;POSTED
C_40013;POSTED
115;SUBMITTED_TO_FDW
C_41014;POSTED
C_41045;POSTED
C_41185;FAILED
C_25058;POSTED
C_25062;POSTED
C_25064;POSTED
C_25077;POSTED
C_25079;POSTED
C_25081;POSTED
C_25096;POSTED
C_25099;POSTED
C_25123;POSTED
C_40109;POSTED
C_40110;POSTED
C_40843;POSTED
C_40845;POSTED
C_40848;POSTED
C_40849;POSTED
C_40851;POSTED
C_40853;POSTED
C_41016;POSTED
C_41006;POSTED
C_40971;POSTED
C_40957;POSTED
C_40997;POSTED
C_40938;POSTED
C_40943;POSTED
C_41065;POSTED
C_40992;POSTED
C_41047;POSTED
C_40976;POSTED
C_40947;POSTED
C_40960;POSTED
C_41021;POSTED
C_41066;POSTED
C_41075;POSTED
C_40918;POSTED
C_40955;POSTED
C_40994;POSTED
C_41054;POSTED
C_40928;POSTED
C_40953;POSTED
C_40989;POSTED
C_41012;POSTED
C_40986;POSTED
C_40936;QUEUED_IN_ASM
C_41147;POSTED
C_41166;POSTED
C_41168;POSTED
C_41170;POSTED
C_41544;POSTED
C_41543;POSTED
C_41545;POSTED
C_41546;POSTED
C_41550;POSTED
C_41551;POSTED
C_41556;POSTED
C_41552;POSTED
C_41557;POSTED
C_41561;POSTED
C_41560;POSTED
C_41563;POSTED
C_41565;POSTED
C_41568;POSTED
C_41566;POSTED
C_41571;POSTED
C_41578;POSTED
C_41575;POSTED
C_41572;POSTED
C_41579;POSTED
C_41584;POSTED
C_41585;POSTED
C_41589;POSTED
C_41590;POSTED
C_41594;POSTED
C_41593;POSTED
C_41592;POSTED
C_41598;POSTED
C_41600;POSTED
C_41601;POSTED
C_41607;POSTED
C_41603;POSTED
C_41606;POSTED
C_41604;POSTED
C_41611;POSTED
C_41612;POSTED
C_41615;POSTED
C_41619;POSTED
C_41618;POSTED
C_41620;POSTED
C_41623;POSTED
C_41625;POSTED
C_41627;POSTED
C_41626;POSTED
C_41631;POSTED
C_41632;POSTED
C_41634;POSTED
C_41637;POSTED
C_41640;POSTED
C_41639;POSTED
C_41643;POSTED
C_41644;POSTED
C_41647;POSTED
C_41649;POSTED
C_41650;POSTED
C_41654;POSTED
C_41659;POSTED
C_41658;POSTED
C_41660;POSTED
C_41657;POSTED
C_41665;POSTED
C_41667;POSTED
C_41664;POSTED
C_41670;POSTED
C_41675;POSTED
C_41677;POSTED
C_41676;POSTED
C_41683;POSTED
C_41686;POSTED
C_41685;POSTED
C_41690;POSTED
C_41689;POSTED
C_41692;POSTED
C_41693;POSTED
C_41695;POSTED
C_41698;POSTED
C_41699;POSTED
C_41704;POSTED
C_41702;POSTED
C_41705;POSTED
C_41709;POSTED
C_41706;POSTED
C_41712;POSTED
C_41713;POSTED
C_41715;POSTED
C_41714;POSTED
C_41719;POSTED
C_41720;POSTED
C_41723;POSTED
C_41724;POSTED
C_41726;POSTED
C_25059;POSTED
C_25060;POSTED
C_25065;POSTED
